Category,Name,Description,Example
Iteration & Refinement,Self-Iterate,Have the model critique its own output and propose improvements.,"""1) Identify the weaknesses and missing details of your last response. 2) Rewrite incorporating your own feedback."""
Iteration & Refinement,Draft in a Canvas,Use a dedicated drafting space for long-form content to make editing easier.,"""Write a detailed project plan in a pop-out canvas, including sections for Objectives, Scope, Timeline, and Risks."""
Maximum Intelligence,"""Think Very Long and Hard""",Adding this phrase triggers extra computation on reasoning models. Use it for complex problems that require deep logical analysis.,"""Think very long and hard and design an algorithm to allocate budget across channels under these constraints and justify your approach."""
Maximum Intelligence,Ask for Assumptions,"Require the model to explain its assumptions, reasoning steps, and approach before answering.","Prompt 1: ""Don't answer yet. First, explain your assumptions and the method you'll use.""
Prompt 2: ""A better interest rate to use is 8%, and assume the interest is applied monthly. Now tell me the answer."""
Maximum Intelligence,Request Multiple Options,Have the model generate several options with pros and cons so you can choose.,"""Give me 3 different positioning statements for this product, with pros and cons for each and a recommendation."""
Maximum Intelligence,Trigger Self-Critique,Ask the model to play devil's advocate and challenge its own conclusions.,"""You just recommended Option B. Now play devil's advocate and argue why Option B might fail and what we should watch for."""
Maximum Intelligence,Show Its Work,Instruct the model to think through the problem step-by-step before responding. Especially important for non-reasoning models.,"""Talk through your reasoning step by step before giving a final answer: Is this A/B test design statistically sound?"""
Maximum Intelligence,Use a Thinking Model,Use a reasoning-focused model when accuracy and logical depth matter most.,"""Analyze this legal clause for ambiguities and outline possible interpretations and risks."""
Maximum Intelligence,Use an Instant Model,"Use a faster model for bulk, repetitive, or low-risk tasks.","""Convert this unstructured log of customer complaints into a 1000-row table with columns for 'Customer', 'Issue Category', and 'Sentiment'."""
Analysis,Structure Data,AI can turn unstructured text into structured formats like tables or JSON.,"""Turn the text of this web page into a markdown table with the following headers: Product Name, Price, & Description."""
Analysis,Reformat Data,AI can intelligently refactor or reformat data to your specifications.,"""Take all of the names and put them into Lastname, Firstname format."""
Analysis,Internal Analysis,"Using Python, AI can run calculations or generate figures and visualizations.","""Using our historic growth data, project when we will double in size. Plot our projected growth curve over the historic data."""
Analysis,External Analysis,AI can help you run analyses by generating Excel or Google Sheet formulas.,"""Help me develop an Excel formula that will calculate the correlation coefficient between sales commission percentage and closing rate."""
Analysis,Internal Capabilities,"Using Python, AI can do simple actions: generate QR codes, convert image types, add headers to PDFs, etc.","""Combine these two PDFs and add page numbers to the bottom right in Arial 12pt font."""
Analysis,Debugging & Troubleshooting,"AI can walk you through complex problems if you upload screenshots, pictures, or error codes.","""Here is a screenshot of my computer. Where did the menu bar go, and how do I get it back?"""
Prompt Library,Turn Chats into Reusable Prompts,"Convert successful conversations into general, reusable prompts. Ask the AI: ""Analyze this conversation and draft a reusable prompt that would recreate this kind of output for any topic.""",
Prompt Library,Parameterize Your Prompts,"Add variables like {{Audience}}, {{Tone}}, and {{Length}} so prompts can be reused easily across different contexts.",
Prompt Library,Organize a Prompt Library,Maintain a catalog of your best prompts by use case and domain. Build institutional knowledge over time.,
Quality Control & Verification,Beware of Hallucinations,"AI models can confidently produce incorrect information, including invented facts, fake citations, non-existent URLs, or fabricated statistics. More advanced models include techniques to reduce this behavior, so risk varies by model, but human judgment remains essential.","With experience, you'll get better at recognizing where hallucinations are most likely and when extra scrutiny is needed."
Quality Control & Verification,Require Checkable Sources,Ask the AI to provide verifiable sources for factual claims. Note: Always check them - sources can be hallucinated.,
Quality Control & Verification,Have the AI Check for Errors,"Ask the model to check its own answers for accuracy. Reasoning models often do this automatically with ""Think very long and hard.""",
Quality Control & Verification,Sanity-Check Math,"Double-check all numerical and statistical output, especially when the model is not in reasoning mode.",
Quality Control & Verification,Validate Data Inputs,"Confirm that inputs are accurate and well-parsed, especially from PDFs and images.",
Quality Control & Verification,Clear Chat History,AI can be biased by prior chat history. Start a new chat if quality seems to be decreasing.,
"Safety, Ethics & Confidentiality",Avoid Plagiarism,"AI may mimic phrasing from training data. Always edit, add original thinking, and run checks where required.",
"Safety, Ethics & Confidentiality",Remove Sensitive Data,"Avoid including personal, confidential, or regulated information unless you're in a compliant setup.",
"Safety, Ethics & Confidentiality",Disclose AI Assistance,"Be transparent about AI involvement where compliance, ethics, or expectations require it.",
"Safety, Ethics & Confidentiality",Don't Delegate High-Risk Decisions,"Use AI for analysis and options, not final calls in legal, medical, financial, or HR decisions.",
